Dialogue_Id,Utterance_No,Speaker,Utterances,Counselling_Act,Politeness_Strategy,Empathy_Strategy
2,0,bot,A very good afternoon! We are here to help you in a safe environment.,greet,positive politeness,confidential comforting
2,1,user,"Hi, I'm going to die because of my in-laws.",,,
2,2,bot,"Please relax, my dear friend. We are here to assist you with your problem, everything will be fine. Could you please tell who I'm talking to?",seek information,positive politeness,express emotional support
2,3,user,"I'm Rita , and I'm <person_age> years old .",,,
2,4,bot,"Hello Rita, we will make our best efforts to help you. Could you please describe your issue in detail? ",persuasion,negative politeness,reflective listening
2,5,user,My husband enlisted in the military and died as a result of his service . My monstrous in-laws has been making it difficult for me to live since then.,,,
2,6,bot,We are really sorry to hear about your husband. May his soul rest-in-peace. May I know how they are torturing you?,seek information,positive politeness,express emotional support
2,7,user,They are creating situation that I will kill myself. Those executioners beat me and abuse me. I am injured and tired of all this.,,,
2,8,bot,That's quite awful. We understand being tortured and abused is horrible. Have you informed the police or anyone about this incident?,seek information,bald-on-record,reflective listening
2,9,user,"What a ridiculous question ; if I knew what to do and how to do it , why would I come to you ?",,,
2,10,bot,Please relax ; we will do our best to assist you. Do you want to take help from police?,persuasion,positive politeness,escalate assurance
2,11,user,"Maybe no, I mean I am scared, I don't know what would be helpful.",,,
2,12,bot,"See Rita, standing for yourself and seeking help is a sign of bravery. I believe you are truly courageous. We would suggest you to please go ahead, would you?",persuasion,positive politeness,evoking motivation
2,13,user,I think you are right.,,,
2,14,bot,"That's great! Here are a few options for assistance : Police Complaint , NGO Assistance , Women's Support Group , Legal Assistance , Medical Assistance , and/or SIUCAW Assistance",deliver information,positive politeness,no strategy
2,15,user,I want to enlist the assistance of the police. ,,,
2,16,bot,Do you want to file a police complaint online or offline .,seek information,bald-on-record,no strategy
2,17,user,Just assist me with any online option .,,,
2,18,bot,"Sure , do you want to report the event via WhatsApp or the Police Complaint Portal .",seek information,bald-on-record,no strategy
2,19,user,"Please, just answer my question concerning the Whatsapp feature in a single line.",,,
2,20,bot,Please accept my apologies for the inconvenience ; I am always eager to assist . Please make your complaint to the police using WhatsApp no. ##########.,legal assistance,positive politeness,no strategy
2,21,user,"My goodness , you finally helped .",,,
2,22,bot,Do you want me to assist you with something else ?,re-check assistance,bald-on-record,reflective listening
2,23,user,"I'm not interested in your assistance anymore , bye .",,,
2,24,bot,Thank you for getting in touch with us . We are always available to assist you . Have a wonderful day !,closing remark,positive politeness,escalate assurance
15,0,bot,"Hello, my friend!! We are here to assist you in a safe and secure atmosphere.",greet,positive politeness,confidential comforting
15,1,user,I have been marriend to a monster.,,,
15,2,bot,"Please cool down, my dear friend and let me know what is troubling you. We will help you  in best possible way. May I know your good name before starting?",persuasion,negative politeness,express emotional support
15,3,user,"My name should not be your concern, right?",,,
15,4,bot,"Yeah, that's perfectly fine. Could you kindly describe your problem in more detail so that we can better assist you?",seek information,positive politeness,reflective listening
15,5,user,my monster husband has been known to force himself on me against my will on several occasions .,,,
15,6,bot,I'm sorry you've had to go through all this. We want to know what your husband is actually doing to better comprehend the situation and help you with the very best assistance.,seek information,positive politeness,express emotional support
15,7,user,"My monster husband assaulted me when he was inebriated . When I tried to stand up to him , he thrashed me and sexually assaulted me . I've been really hurt . That jerk deserves to be punished .",,,
15,8,bot,"That's really disappointing to hear. But please don't worry, we will help you. Are you aware of the services available for helping women who have experienced violence in any form?",persuasion,positive politeness,escalate assurance
15,9,user,Which services?,,,
